PRECINCT,REG17,BALLOTS17,CRANLEY,SIMPSON,TOTMAY,P_CRANLEY,P_SIMPSON,P_HVAP,P_WVAP,P_BVAP,P_AMINVAP,P_ASIANVAP,P_NHPIVAP,P_OTHERVAP,P_2MOREVAP,P_HCVAP,P_BCVAP,P_WCVAP
2609 CIN 26-I,1091,392,271,112,383,0.707571802,0.292428198,0.011023622,0.818897638,0.152755906,0.000787402,0.003149606,0,0.000787402,0.012598425,0.01523664,0.278918368,0.653313013
2610 CIN 26-J,1281,321,140,178,318,0.440251572,0.559748428,0.009272468,0.291012839,0.669044223,0.000713267,0.015691869,0,0,0.014265335,0,0.63447981,0.330135158
2611 CIN 26-K,1273,413,280,121,401,0.698254364,0.301745636,0.032571033,0.753291753,0.193347193,0.000693001,0.00970201,0,0.000693001,0.00970201,0.063455472,0.270506862,0.624886601
2612 CIN 26-L,825,238,162,75,237,0.683544304,0.316455696,0.0249501,0.643712575,0.294411178,0.001996008,0.01497006,0.001996008,0.003992016,0.013972056,0.035454983,0.309263548,0.644031512
2613 CIN 26-M,707,156,72,77,149,0.483221477,0.516778523,0.004587156,0.305045872,0.653669725,0.006880734,0.013761468,0,0,0.016055046,0.00028814,0.709708402,0.212263245
2614 CIN 26-N,1236,269,151,111,262,0.576335878,0.423664122,0.020424837,0.401143791,0.555555556,0,0.006535948,0.001633987,0.000816993,0.013888889,0.012212427,0.665643254,0.304182834
2615 CIN 26-O,1158,458,305,142,447,0.682326622,0.317673378,0.008223684,0.752467105,0.221217105,0.004111842,0,0,0.003289474,0.010690789,0.033538246,0.449573873,0.506362654
2616 CIN 26-P,1289,365,204,160,364,0.56043956,0.43956044,0.041112455,0.34885127,0.558645707,0.001813785,0.030834341,0.003022975,0,0.015719468,0.012919897,0.509043928,0.408268734
2617 CIN 26-Q,1330,151,64,82,146,0.438356164,0.561643836,0.013688213,0.214448669,0.738403042,0.000760456,0.012927757,0,0.005323194,0.014448669,0,0.697943533,0.269663237
2618 CIN 26-R,768,122,49,73,122,0.401639344,0.598360656,0.025957973,0.220024722,0.73053152,0.00618047,0.00618047,0,0,0.011124845,0.017915019,0.734694815,0.190746125
2619 CIN 26-S,952,259,174,81,255,0.682352941,0.317647059,0.036315323,0.69530558,0.241806909,0.003542958,0.009743136,0,0.00088574,0.012400354,0.026056999,0.447836786,0.508702072
